gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_4B_039742 gene:Et_4B_038339
gene:Et_4B_038340 gene:Et_4B_038339
gene:Et_4B_038340 gene:Et_4B_038338
gene:Et_4B_038339 gene:Et_4B_038338
gene:Et_4B_039740 gene:Et_4B_039741
gene:Et_4B_039744 gene:Et_4B_039745
gene:Et_4B_039747 gene:Et_4B_039748
gene:Et_4B_038372 gene:Et_4B_038374
gene:Et_4B_038385 gene:Et_4B_038377
gene:Et_4B_038415 gene:Et_4B_038416
gene:Et_4B_038444 gene:Et_4B_036542
gene:Et_4B_039772 gene:Et_4B_039775
gene:Et_4B_038463 gene:Et_4B_039778
gene:Et_4B_039781 gene:Et_4B_039782
gene:Et_4B_038491 gene:Et_4B_038495
gene:Et_4B_038492 gene:Et_4B_038495
gene:Et_4B_036553 gene:Et_4B_038496
gene:Et_4B_036558 gene:Et_4B_036556
gene:Et_4B_038548 gene:Et_4B_036162
gene:Et_5A_041798 gene:Et_5A_042721
gene:Et_5A_042764 gene:Et_5A_041900
gene:Et_5A_041894 gene:Et_5A_041900
gene:Et_5A_041894 gene:Et_5A_041895
gene:Et_5A_041900 gene:Et_5A_041895
gene:Et_5A_041900 gene:Et_5A_041896
gene:Et_5A_041895 gene:Et_5A_041896
gene:Et_5A_042819 gene:Et_5A_041994
gene:Et_5A_042070 gene:Et_5A_042870
gene:Et_5A_042430 gene:Et_5A_042445
gene:Et_5A_040672 gene:Et_5A_040673
gene:Et_5A_042443 gene:Et_5A_042444
gene:Et_5A_040822 gene:Et_5A_040823
gene:Et_5A_040881 gene:Et_5A_040880
gene:Et_5A_040879 gene:Et_5A_040880
gene:Et_5A_042484 gene:Et_5A_040926
gene:Et_5A_042485 gene:Et_5A_040924
gene:Et_5A_042485 gene:Et_5A_040923
gene:Et_5A_040924 gene:Et_5A_040923
gene:Et_5A_040924 gene:Et_5A_042486
gene:Et_5A_040923 gene:Et_5A_042486
gene:Et_5A_042487 gene:Et_5A_040978
gene:Et_5A_042494 gene:Et_5A_040980
gene:Et_5A_040980 gene:Et_5A_040981
gene:Et_5A_040980 gene:Et_5A_042496
gene:Et_5A_040981 gene:Et_5A_042495
gene:Et_5A_040981 gene:Et_5A_042496
gene:Et_5A_041027 gene:Et_5A_040362
gene:Et_5A_042515 gene:Et_5A_042518
gene:Et_5A_042521 gene:Et_5A_042516
gene:Et_5A_042518 gene:Et_5A_041082
gene:Et_5A_042519 gene:Et_5A_042520
gene:Et_5A_042520 gene:Et_5A_042514
gene:Et_5A_042520 gene:Et_5A_041081
gene:Et_5A_042514 gene:Et_5A_041081
gene:Et_5A_042551 gene:Et_5A_042552
gene:Et_5A_042609 gene:Et_5A_041385
gene:Et_5A_042609 gene:Et_5A_042607
gene:Et_5A_041385 gene:Et_5A_042607
gene:Et_5A_041529 gene:Et_5A_041525
gene:Et_5A_041532 gene:Et_5A_041531
gene:Et_5A_041534 gene:Et_5A_041533
gene:Et_5A_041610 gene:Et_5A_041615
gene:Et_5A_042694 gene:Et_5A_042692
gene:Et_5A_041698 gene:Et_5A_041772
gene:Et_5A_041787 gene:Et_5A_041782
gene:Et_5A_041787 gene:Et_5A_041783
gene:Et_5A_041782 gene:Et_5A_041783
gene:Et_5A_041782 gene:Et_5A_042710
gene:Et_5A_041783 gene:Et_5A_042710
gene:Et_5A_041783 gene:Et_5A_042711
gene:Et_5A_041797 gene:Et_5A_042717
gene:Et_5A_041812 gene:Et_5A_041813
gene:Et_5A_040241 gene:Et_5A_041807
gene:Et_5A_041813 gene:Et_5A_041808
gene:Et_5A_041813 gene:Et_5A_041809
gene:Et_5A_041808 gene:Et_5A_041809
gene:Et_5A_042732 gene:Et_5A_042733
gene:Et_5A_042740 gene:Et_5A_042746
gene:Et_5A_042746 gene:Et_5A_042745
gene:Et_5A_041856 gene:Et_5A_041861
gene:Et_5A_041865 gene:Et_5A_041869
gene:Et_5A_041886 gene:Et_5A_041887
gene:Et_5A_041907 gene:Et_5A_042773
gene:Et_5A_041914 gene:Et_5A_042780
gene:Et_5A_042780 gene:Et_5A_042781
gene:Et_5A_041919 gene:Et_5A_042783
gene:Et_5A_042785 gene:Et_5A_041925
gene:Et_5A_040522 gene:Et_5A_042793
gene:Et_5A_042793 gene:Et_5A_041944
gene:Et_5A_041944 gene:Et_5A_041941
gene:Et_5A_042794 gene:Et_5A_041941
gene:Et_5A_042797 gene:Et_5A_041946
gene:Et_5A_041966 gene:Et_5A_041969
gene:Et_5A_041966 gene:Et_5A_041967
gene:Et_5A_041969 gene:Et_5A_041967
gene:Et_5A_042809 gene:Et_5A_042810
gene:Et_5A_042809 gene:Et_5A_041970
gene:Et_5A_042810 gene:Et_5A_041970
gene:Et_5A_042804 gene:Et_5A_041964
gene:Et_5A_041965 gene:Et_5A_041978
gene:Et_5A_042814 gene:Et_5A_041983
gene:Et_5A_042815 gene:Et_5A_042816
gene:Et_5A_041989 gene:Et_5A_042003
gene:Et_5A_042822 gene:Et_5A_042006
gene:Et_5A_042018 gene:Et_5A_042017
gene:Et_5A_042859 gene:Et_5A_042057
gene:Et_5A_042862 gene:Et_5A_042866
gene:Et_5A_042063 gene:Et_5A_042064
gene:Et_5A_042063 gene:Et_5A_042065
gene:Et_5A_042064 gene:Et_5A_042065
gene:Et_5A_042064 gene:Et_5A_042868
gene:Et_5A_042065 gene:Et_5A_042868
gene:Et_5A_042079 gene:Et_5A_042078
gene:Et_5A_042079 gene:Et_5A_042084
gene:Et_5A_042078 gene:Et_5A_042084
gene:Et_5A_042078 gene:Et_5A_042873
gene:Et_5A_042084 gene:Et_5A_042873
gene:Et_5A_042876 gene:Et_5A_042878
gene:Et_5A_042878 gene:Et_5A_042087
gene:Et_5A_042087 gene:Et_5A_042874
gene:Et_5A_042087 gene:Et_5A_042882
gene:Et_5A_042874 gene:Et_5A_042883
gene:Et_5A_042882 gene:Et_5A_042090
gene:Et_5A_042883 gene:Et_5A_042090
gene:Et_5A_042883 gene:Et_5A_042884
gene:Et_5A_042090 gene:Et_5A_042884
gene:Et_5A_042884 gene:Et_5A_042091
gene:Et_5A_040535 gene:Et_5A_042886
gene:Et_5A_042091 gene:Et_5A_042887
gene:Et_5A_042886 gene:Et_5A_042092
gene:Et_5A_042888 gene:Et_5A_042893
gene:Et_5A_042889 gene:Et_5A_042893
gene:Et_5A_042098 gene:Et_5A_042100
gene:Et_5A_042100 gene:Et_5A_042101
gene:Et_5A_042890 gene:Et_5A_042891
gene:Et_5A_042113 gene:Et_5A_042109
gene:Et_5A_042113 gene:Et_5A_042116
gene:Et_5A_042109 gene:Et_5A_042116
gene:Et_5A_042119 gene:Et_5A_042118
gene:Et_5A_042119 gene:Et_5A_042895
gene:Et_5A_042118 gene:Et_5A_042895
gene:Et_5A_042123 gene:Et_5A_042897
gene:Et_5A_042123 gene:Et_5A_042127
gene:Et_5A_042127 gene:Et_5A_042126
gene:Et_5A_042136 gene:Et_5A_042129
gene:Et_5A_042129 gene:Et_5A_042137
gene:Et_5A_042905 gene:Et_5A_042913
gene:Et_5A_042910 gene:Et_5A_042150
gene:Et_5A_042172 gene:Et_5A_042928
gene:Et_5A_042180 gene:Et_5A_042181
gene:Et_5A_042204 gene:Et_5A_042203
gene:Et_5A_042945 gene:Et_5A_042947
gene:Et_5A_042946 gene:Et_5A_042208
gene:Et_5A_042947 gene:Et_5A_042208
gene:Et_5A_042208 gene:Et_5A_042211
gene:Et_5A_042210 gene:Et_5A_042213
gene:Et_5A_042210 gene:Et_5A_042948
gene:Et_5A_042213 gene:Et_5A_042948
gene:Et_5A_042213 gene:Et_5A_042214
gene:Et_5A_042948 gene:Et_5A_042214
gene:Et_5A_042216 gene:Et_5A_042218
gene:Et_5A_042216 gene:Et_5A_042217
gene:Et_5A_042218 gene:Et_5A_042952
gene:Et_5A_042218 gene:Et_5A_042217
gene:Et_5A_042222 gene:Et_5A_042220
gene:Et_5A_042222 gene:Et_5A_042225
gene:Et_5A_042221 gene:Et_5A_042223
gene:Et_5A_042223 gene:Et_5A_042224
gene:Et_5A_042956 gene:Et_5A_042227
gene:Et_5A_042227 gene:Et_5A_042228
gene:Et_5A_042230 gene:Et_5A_042231
gene:Et_5A_042229 gene:Et_5A_042231
gene:Et_5A_040548 gene:Et_5A_042234
gene:Et_5A_040548 gene:Et_5A_042232
gene:Et_5A_042234 gene:Et_5A_042232
gene:Et_5A_042234 gene:Et_5A_042233
gene:Et_5A_042232 gene:Et_5A_042233
gene:Et_5A_042233 gene:Et_5A_042239
gene:Et_5A_042239 gene:Et_5A_042240
gene:Et_5A_042259 gene:Et_5A_042250
gene:Et_5A_042249 gene:Et_5A_042250
gene:Et_5A_042251 gene:Et_5A_042250
gene:Et_5A_042254 gene:Et_5A_042253
gene:Et_5A_042254 gene:Et_5A_042255
gene:Et_5A_042253 gene:Et_5A_042255
gene:Et_5A_042967 gene:Et_5A_042263
gene:Et_5A_042276 gene:Et_5A_042277
gene:Et_5A_042273 gene:Et_5A_042275
gene:Et_5A_042275 gene:Et_5A_042274
gene:Et_5A_042275 gene:Et_5A_042282
gene:Et_5A_042274 gene:Et_5A_042282
gene:Et_5A_042282 gene:Et_5A_042283
gene:Et_5A_042288 gene:Et_5A_042284
gene:Et_5A_042288 gene:Et_5A_042971
gene:Et_5A_042284 gene:Et_5A_042971
gene:Et_5A_042285 gene:Et_5A_042289
gene:Et_5A_042285 gene:Et_5A_042286
gene:Et_5A_042289 gene:Et_5A_042286
gene:Et_5A_042971 gene:Et_5A_042290
gene:Et_5A_042286 gene:Et_5A_042972
gene:Et_5A_042286 gene:Et_5A_042287
gene:Et_5A_042972 gene:Et_5A_042287
gene:Et_5A_042287 gene:Et_5A_042292
gene:Et_5A_042292 gene:Et_5A_042295
gene:Et_5A_042292 gene:Et_5A_042296
gene:Et_5A_042295 gene:Et_5A_042297
gene:Et_5A_042296 gene:Et_5A_042297
gene:Et_5A_042974 gene:Et_5A_042975
gene:Et_5A_042976 gene:Et_5A_042304
gene:Et_5A_042976 gene:Et_5A_042302
gene:Et_5A_042304 gene:Et_5A_042302
gene:Et_5A_042304 gene:Et_5A_042300
gene:Et_5A_042302 gene:Et_5A_042300
gene:Et_5A_042302 gene:Et_5A_042301
gene:Et_5A_042300 gene:Et_5A_042301
gene:Et_5A_042300 gene:Et_5A_042303
gene:Et_5A_042301 gene:Et_5A_042303
gene:Et_5A_042306 gene:Et_5A_042313
gene:Et_5A_042309 gene:Et_5A_042310
gene:Et_5A_042310 gene:Et_5A_042311
gene:Et_5A_042311 gene:Et_5A_042312
gene:Et_5A_042312 gene:Et_5A_042317
gene:Et_5A_042317 gene:Et_5A_042316
gene:Et_5A_042324 gene:Et_5A_042323
gene:Et_5A_042334 gene:Et_5A_042335
gene:Et_5A_042338 gene:Et_5A_042993
gene:Et_5A_042338 gene:Et_5A_042339
gene:Et_5A_042993 gene:Et_5A_042339
gene:Et_5A_042993 gene:Et_5A_042991
gene:Et_5A_042339 gene:Et_5A_042991
gene:Et_5A_042336 gene:Et_5A_042337
gene:Et_5A_040553 gene:Et_5A_040265
gene:Et_5A_040553 gene:Et_5A_042354
gene:Et_5A_042364 gene:Et_5A_042363
gene:Et_5A_040266 gene:Et_5A_040268
gene:Et_5A_040267 gene:Et_5A_040269
gene:Et_5A_042365 gene:Et_5A_042371
gene:Et_5A_042365 gene:Et_5A_042996
gene:Et_5A_042371 gene:Et_5A_042996
gene:Et_5A_042371 gene:Et_5A_042372
gene:Et_5A_042996 gene:Et_5A_042372
gene:Et_5A_040271 gene:Et_5A_042366
gene:Et_5A_042381 gene:Et_5A_040273
gene:Et_5A_042378 gene:Et_5A_042382
gene:Et_5A_042388 gene:Et_5A_042389
gene:Et_5A_042397 gene:Et_5A_042396
gene:Et_5A_042402 gene:Et_5A_043002
gene:Et_5A_042415 gene:Et_5A_042418
gene:Et_5A_042418 gene:Et_5A_042417
gene:Et_5A_042417 gene:Et_5A_040592
gene:Et_5A_040592 gene:Et_5A_040590
gene:Et_5A_040589 gene:Et_5A_040590
gene:Et_5A_040590 gene:Et_5A_040591
gene:Et_5A_040614 gene:Et_5A_040602
gene:Et_5A_040602 gene:Et_5A_040604
gene:Et_5A_040282 gene:Et_5A_040618
gene:Et_5A_040108 gene:Et_5A_040618
gene:Et_5A_040108 gene:Et_5A_040619
gene:Et_5A_040618 gene:Et_5A_040617
gene:Et_5A_040618 gene:Et_5A_040619
gene:Et_5A_040617 gene:Et_5A_040619
gene:Et_5A_040617 gene:Et_5A_042433
gene:Et_5A_040619 gene:Et_5A_042433
gene:Et_5A_040619 gene:Et_5A_040110
gene:Et_5A_042433 gene:Et_5A_040110
gene:Et_5A_042433 gene:Et_5A_040622
gene:Et_5A_040110 gene:Et_5A_040622
gene:Et_5A_040622 gene:Et_5A_042434
gene:Et_5A_040628 gene:Et_5A_040631
gene:Et_5A_040625 gene:Et_5A_040630
gene:Et_5A_040629 gene:Et_5A_040630
gene:Et_5A_042437 gene:Et_5A_040634
gene:Et_5A_040636 gene:Et_5A_040635
gene:Et_5A_040289 gene:Et_5A_040685
gene:Et_5A_040686 gene:Et_5A_040687
gene:Et_5A_040685 gene:Et_5A_040687
gene:Et_5A_040689 gene:Et_5A_040695
gene:Et_5A_040699 gene:Et_5A_040701
gene:Et_5A_040699 gene:Et_5A_040702
gene:Et_5A_040701 gene:Et_5A_040702
gene:Et_5A_040702 gene:Et_5A_040704
gene:Et_5A_040704 gene:Et_5A_040707
gene:Et_5A_040119 gene:Et_5A_042450
gene:Et_5A_040715 gene:Et_5A_040721
gene:Et_5A_040715 gene:Et_5A_040716
gene:Et_5A_040721 gene:Et_5A_040716
gene:Et_5A_040730 gene:Et_5A_040732
gene:Et_5A_040726 gene:Et_5A_040724
gene:Et_5A_040728 gene:Et_5A_040729
gene:Et_5A_040729 gene:Et_5A_040297
gene:Et_5A_040736 gene:Et_5A_040737
gene:Et_5A_042453 gene:Et_5A_042454
gene:Et_5A_042453 gene:Et_5A_042455
gene:Et_5A_042454 gene:Et_5A_042455
gene:Et_5A_042454 gene:Et_5A_040743
gene:Et_5A_042455 gene:Et_5A_040743
gene:Et_5A_040762 gene:Et_5A_040764
gene:Et_5A_040763 gene:Et_5A_040764
gene:Et_5A_040764 gene:Et_5A_040301
gene:Et_5A_040301 gene:Et_5A_040772
gene:Et_5A_040772 gene:Et_5A_040770
gene:Et_5A_040770 gene:Et_5A_040774
gene:Et_5A_040774 gene:Et_5A_040781
gene:Et_5A_040781 gene:Et_5A_040782
gene:Et_5A_040837 gene:Et_5A_040839
gene:Et_5A_040837 gene:Et_5A_040838
gene:Et_5A_040853 gene:Et_5A_040319
gene:Et_5A_042468 gene:Et_5A_040318
gene:Et_5A_040320 gene:Et_5A_040859
gene:Et_5A_040131 gene:Et_5A_040888
gene:Et_5A_040894 gene:Et_5A_042479
gene:Et_5A_040894 gene:Et_5A_042478
gene:Et_5A_042479 gene:Et_5A_042478
gene:Et_5A_040898 gene:Et_5A_040899
gene:Et_5A_042501 gene:Et_5A_040152
gene:Et_5A_040996 gene:Et_5A_040154
gene:Et_5A_041000 gene:Et_5A_040998
gene:Et_5A_041000 gene:Et_5A_040999
gene:Et_5A_041001 gene:Et_5A_041003
gene:Et_5A_041002 gene:Et_5A_041005
gene:Et_5A_041003 gene:Et_5A_041005
gene:Et_5A_041004 gene:Et_5A_041005
gene:Et_5A_041004 gene:Et_5A_041009
gene:Et_5A_041005 gene:Et_5A_041009
gene:Et_5A_041005 gene:Et_5A_041006
gene:Et_5A_040358 gene:Et_5A_041007
gene:Et_5A_040360 gene:Et_5A_041014
gene:Et_5A_040360 gene:Et_5A_041015
gene:Et_5A_041014 gene:Et_5A_041015
gene:Et_5A_041014 gene:Et_5A_041021
gene:Et_5A_041015 gene:Et_5A_041021
gene:Et_5A_041016 gene:Et_5A_041017
gene:Et_5A_041017 gene:Et_5A_041021
gene:Et_5A_040363 gene:Et_5A_041039
gene:Et_5A_041040 gene:Et_5A_041041
gene:Et_5A_041036 gene:Et_5A_041037
gene:Et_5A_042510 gene:Et_5A_041049
gene:Et_5A_040161 gene:Et_5A_042511
gene:Et_5A_041058 gene:Et_5A_041059
gene:Et_5A_040163 gene:Et_5A_041063
gene:Et_5A_042512 gene:Et_5A_041074
gene:Et_5A_041074 gene:Et_5A_041071
gene:Et_5A_041077 gene:Et_5A_041087
gene:Et_5A_041080 gene:Et_5A_041085
gene:Et_5A_041096 gene:Et_5A_042522
gene:Et_5A_041100 gene:Et_5A_040166
gene:Et_5A_040166 gene:Et_5A_040381
gene:Et_5A_041119 gene:Et_5A_041118
gene:Et_5A_041111 gene:Et_5A_041112
gene:Et_5A_041121 gene:Et_5A_041124
gene:Et_5A_041123 gene:Et_5A_042526
gene:Et_5A_042527 gene:Et_5A_041125
gene:Et_5A_041127 gene:Et_5A_041128
gene:Et_5A_041128 gene:Et_5A_041129
gene:Et_5A_041140 gene:Et_5A_041131
gene:Et_5A_041138 gene:Et_5A_040386
gene:Et_5A_042528 gene:Et_5A_042529
gene:Et_5A_041153 gene:Et_5A_042530
gene:Et_5A_041150 gene:Et_5A_041162
gene:Et_5A_042530 gene:Et_5A_041152
gene:Et_5A_041159 gene:Et_5A_041160
gene:Et_5A_041159 gene:Et_5A_041161
gene:Et_5A_041160 gene:Et_5A_041161
gene:Et_5A_042538 gene:Et_5A_042539
gene:Et_5A_041196 gene:Et_5A_042540
gene:Et_5A_042542 gene:Et_5A_041203
gene:Et_5A_041211 gene:Et_5A_041212
gene:Et_5A_041212 gene:Et_5A_040399
gene:Et_5A_040402 gene:Et_5A_040403
gene:Et_5A_040400 gene:Et_5A_040405
gene:Et_5A_041248 gene:Et_5A_041253
gene:Et_5A_042554 gene:Et_5A_040181
gene:Et_5A_041258 gene:Et_5A_042556
gene:Et_5A_042555 gene:Et_5A_042556
gene:Et_5A_040184 gene:Et_5A_042559
gene:Et_5A_040413 gene:Et_5A_042560
gene:Et_5A_042560 gene:Et_5A_042561
gene:Et_5A_042560 gene:Et_5A_042562
gene:Et_5A_042561 gene:Et_5A_042562
gene:Et_5A_041278 gene:Et_5A_041279
gene:Et_5A_041282 gene:Et_5A_042570
gene:Et_5A_041293 gene:Et_5A_041288
gene:Et_5A_042575 gene:Et_5A_041295
gene:Et_5A_042578 gene:Et_5A_041295
gene:Et_5A_041313 gene:Et_5A_040424
gene:Et_5A_041312 gene:Et_5A_041315
gene:Et_5A_042585 gene:Et_5A_041317
gene:Et_5A_041316 gene:Et_5A_041321
gene:Et_5A_041321 gene:Et_5A_041318
gene:Et_5A_041325 gene:Et_5A_041324
gene:Et_5A_042588 gene:Et_5A_042590
gene:Et_5A_042590 gene:Et_5A_042592
gene:Et_5A_041340 gene:Et_5A_042591
gene:Et_5A_041340 gene:Et_5A_042592
gene:Et_5A_042592 gene:Et_5A_042594
gene:Et_5A_042594 gene:Et_5A_042595
gene:Et_5A_042594 gene:Et_5A_041341
gene:Et_5A_042595 gene:Et_5A_041341
gene:Et_5A_042597 gene:Et_5A_041342
gene:Et_5A_042600 gene:Et_5A_040430
gene:Et_5A_040430 gene:Et_5A_040196
gene:Et_5A_041349 gene:Et_5A_041353
gene:Et_5A_041351 gene:Et_5A_041358
gene:Et_5A_041358 gene:Et_5A_041359
gene:Et_5A_041357 gene:Et_5A_041355
gene:Et_5A_041359 gene:Et_5A_041360
gene:Et_5A_040199 gene:Et_5A_040200
gene:Et_5A_041362 gene:Et_5A_040434
gene:Et_5A_040434 gene:Et_5A_041368
gene:Et_5A_041370 gene:Et_5A_042604
gene:Et_5A_042603 gene:Et_5A_042604
gene:Et_5A_041392 gene:Et_5A_041388
gene:Et_5A_041373 gene:Et_5A_041374
gene:Et_5A_041388 gene:Et_5A_041393
gene:Et_5A_041393 gene:Et_5A_041389
gene:Et_5A_042612 gene:Et_5A_041389
gene:Et_5A_042612 gene:Et_5A_042610
gene:Et_5A_041389 gene:Et_5A_042611
gene:Et_5A_041395 gene:Et_5A_041396
gene:Et_5A_041395 gene:Et_5A_042615
gene:Et_5A_041396 gene:Et_5A_042615
gene:Et_5A_041403 gene:Et_5A_042613
gene:Et_5A_041403 gene:Et_5A_042614
gene:Et_5A_042615 gene:Et_5A_042616
gene:Et_5A_042616 gene:Et_5A_041398
gene:Et_5A_041398 gene:Et_5A_041400
gene:Et_5A_041398 gene:Et_5A_041399
gene:Et_5A_041400 gene:Et_5A_041399
gene:Et_5A_041400 gene:Et_5A_041397
gene:Et_5A_041399 gene:Et_5A_041397
gene:Et_5A_041399 gene:Et_5A_041401
gene:Et_5A_041397 gene:Et_5A_041401
gene:Et_5A_041401 gene:Et_5A_041405
gene:Et_5A_041401 gene:Et_5A_041411
gene:Et_5A_041405 gene:Et_5A_041411
gene:Et_5A_041407 gene:Et_5A_041408
gene:Et_5A_041411 gene:Et_5A_041406
gene:Et_5A_041411 gene:Et_5A_041409
gene:Et_5A_041406 gene:Et_5A_041409
gene:Et_5A_041409 gene:Et_5A_041410
gene:Et_5A_040439 gene:Et_5A_040440
gene:Et_5A_041425 gene:Et_5A_041423
gene:Et_5A_041424 gene:Et_5A_040205
gene:Et_5A_041422 gene:Et_5A_041421
gene:Et_5A_041422 gene:Et_5A_041430
gene:Et_5A_041421 gene:Et_5A_041430
gene:Et_5A_041430 gene:Et_5A_040207
gene:Et_5A_040209 gene:Et_5A_040210
gene:Et_5A_041432 gene:Et_5A_041433
gene:Et_5A_040210 gene:Et_5A_041434
gene:Et_5A_040443 gene:Et_5A_041434
gene:Et_5A_041434 gene:Et_5A_040211
gene:Et_5A_042626 gene:Et_5A_041439
gene:Et_5A_041458 gene:Et_5A_041459
gene:Et_5A_041458 gene:Et_5A_041460
gene:Et_5A_041459 gene:Et_5A_041460
gene:Et_5A_041459 gene:Et_5A_042634
gene:Et_5A_041460 gene:Et_5A_042634
gene:Et_5A_041466 gene:Et_5A_041467
gene:Et_5A_041469 gene:Et_5A_041470
gene:Et_5A_041470 gene:Et_5A_041465
gene:Et_5A_041468 gene:Et_5A_041465
gene:Et_5A_042635 gene:Et_5A_041465
gene:Et_5A_041465 gene:Et_5A_040451
gene:Et_5A_040214 gene:Et_5A_040215
gene:Et_5A_041478 gene:Et_5A_041479
gene:Et_5A_041490 gene:Et_5A_042640
gene:Et_5A_041487 gene:Et_5A_041488
gene:Et_5A_041492 gene:Et_5A_041493
gene:Et_5A_041502 gene:Et_5A_042643
gene:Et_5A_041511 gene:Et_5A_041510
gene:Et_5A_041540 gene:Et_5A_041541
gene:Et_5A_040462 gene:Et_5A_042658
gene:Et_5A_040462 gene:Et_5A_041560
gene:Et_5A_042658 gene:Et_5A_041560
gene:Et_5A_040466 gene:Et_5A_042656
gene:Et_5A_040466 gene:Et_5A_041559
gene:Et_5A_042656 gene:Et_5A_041559
gene:Et_5A_041578 gene:Et_5A_041589
gene:Et_5A_041585 gene:Et_5A_041584
gene:Et_5A_042664 gene:Et_5A_041593
gene:Et_5A_042664 gene:Et_5A_042665
gene:Et_5A_041593 gene:Et_5A_042665
gene:Et_5A_041593 gene:Et_5A_041587
gene:Et_5A_042665 gene:Et_5A_041587
gene:Et_5A_041594 gene:Et_5A_040474
gene:Et_5A_042666 gene:Et_5A_041595
gene:Et_5A_040478 gene:Et_5A_041608
gene:Et_5A_041617 gene:Et_5A_042670
gene:Et_5A_041617 gene:Et_5A_042671
gene:Et_5A_042670 gene:Et_5A_042672
gene:Et_5A_041622 gene:Et_5A_041621
gene:Et_5A_041618 gene:Et_5A_041624
gene:Et_5A_042677 gene:Et_5A_041628
gene:Et_5A_041650 gene:Et_5A_040491
gene:Et_5A_041648 gene:Et_5A_041653
gene:Et_5A_041654 gene:Et_5A_041655
gene:Et_5A_041654 gene:Et_5A_041663
gene:Et_5A_041655 gene:Et_5A_041663
gene:Et_5A_041656 gene:Et_5A_041657
gene:Et_5A_041663 gene:Et_5A_041661
gene:Et_5A_041663 gene:Et_5A_041662
gene:Et_5A_041661 gene:Et_5A_041662
gene:Et_5A_041661 gene:Et_5A_041664
gene:Et_5A_041662 gene:Et_5A_041664
gene:Et_5A_041662 gene:Et_5A_042680
gene:Et_5A_041664 gene:Et_5A_042680
gene:Et_5A_041665 gene:Et_5A_041674
gene:Et_5A_042686 gene:Et_5A_042684
gene:Et_5A_041682 gene:Et_5A_041686
gene:Et_5A_042690 gene:Et_5A_042689
gene:Et_5A_041686 gene:Et_5A_041683
gene:Et_5A_041683 gene:Et_5A_041702
gene:Et_5A_041684 gene:Et_5A_041685
gene:Et_5A_041702 gene:Et_5A_042695
gene:Et_5A_041715 gene:Et_5A_042700
gene:Et_5A_041715 gene:Et_5A_042701
gene:Et_5A_042700 gene:Et_5A_042701
gene:Et_5A_041721 gene:Et_5A_041720
gene:Et_5A_042703 gene:Et_5A_041723
gene:Et_5A_041724 gene:Et_5A_041723
gene:Et_5A_041723 gene:Et_5A_042704
gene:Et_5A_041736 gene:Et_5A_042705
gene:Et_5A_041737 gene:Et_5A_041739
gene:Et_5A_041737 gene:Et_5A_041738
gene:Et_5A_041739 gene:Et_5A_041738
gene:Et_5A_041739 gene:Et_5A_042705
gene:Et_5A_041738 gene:Et_5A_042705
gene:Et_5A_041746 gene:Et_5A_042707
gene:Et_5A_042706 gene:Et_5A_042707
gene:Et_5A_042706 gene:Et_5A_041745
gene:Et_5A_041753 gene:Et_5A_041754
gene:Et_5A_041753 gene:Et_5A_041755
gene:Et_5A_041754 gene:Et_5A_041755
gene:Et_5A_041755 gene:Et_5A_041759
gene:Et_5A_041757 gene:Et_5A_041759
gene:Et_5A_041762 gene:Et_5A_041763
gene:Et_5B_044504 gene:Et_5B_044510
gene:Et_5B_044504 gene:Et_5B_044509
gene:Et_5B_044510 gene:Et_5B_044505
gene:Et_5B_044509 gene:Et_5B_044505
gene:Et_5B_045541 gene:Et_5B_044599
gene:Et_5B_045762 gene:Et_5B_045764
gene:Et_5B_043396 gene:Et_5B_043400
gene:Et_5B_043402 gene:Et_5B_043401
gene:Et_5B_043402 gene:Et_5B_043400
gene:Et_5B_043401 gene:Et_5B_043400
gene:Et_5B_043620 gene:Et_5B_045231
gene:Et_5B_043680 gene:Et_5B_045245
gene:Et_5B_043680 gene:Et_5B_045246
gene:Et_5B_045245 gene:Et_5B_045246
gene:Et_5B_045245 gene:Et_5B_045247
gene:Et_5B_045246 gene:Et_5B_045247
gene:Et_5B_045247 gene:Et_5B_043679
gene:Et_5B_043684 gene:Et_5B_043682
gene:Et_5B_043684 gene:Et_5B_043683
gene:Et_5B_043682 gene:Et_5B_043683
gene:Et_5B_045255 gene:Et_5B_045257
gene:Et_5B_045256 gene:Et_5B_045257
gene:Et_5B_045269 gene:Et_5B_043779
gene:Et_5B_045271 gene:Et_5B_045294
gene:Et_5B_045294 gene:Et_5B_043865
gene:Et_5B_045294 gene:Et_5B_043866
gene:Et_5B_043865 gene:Et_5B_043866
gene:Et_5B_044105 gene:Et_5B_045371
gene:Et_5B_044105 gene:Et_5B_044104
gene:Et_5B_045371 gene:Et_5B_044104
gene:Et_5B_044174 gene:Et_5B_044173
gene:Et_5B_044252 gene:Et_5B_044249
gene:Et_5B_044254 gene:Et_5B_044253
gene:Et_5B_044420 gene:Et_5B_045464
gene:Et_5B_045466 gene:Et_5B_044422
gene:Et_5B_043313 gene:Et_5B_043312
gene:Et_5B_044450 gene:Et_5B_044449
gene:Et_5B_044462 gene:Et_5B_044458
gene:Et_5B_044457 gene:Et_5B_044463
gene:Et_5B_044458 gene:Et_5B_044459
gene:Et_5B_044459 gene:Et_5B_044463
gene:Et_5B_044469 gene:Et_5B_044468
gene:Et_5B_043098 gene:Et_5B_043099
gene:Et_5B_044477 gene:Et_5B_044476
gene:Et_5B_044477 gene:Et_5B_044478
